distance,parity,bravyi_kitaev,jordan_wigner
0.5,-7.039732521635206,-7.0397325216352,-7.039732521635206
0.6,-7.3133458287610065,-7.313345828761003,-7.313345828761007
0.7,-7.500922090905929,-7.500922090905932,-7.500922090905941
0.8,-7.630978249333209,-7.630978249333208,-7.630978249333215
0.9,-7.7208124121347845,-7.720812412134784,-7.720812412134788
1.0,-7.782242402637008,-7.782242402637009,-7.782242402637009
1.1,-7.823599276362812,-7.8235992763628035,-7.8235992763628115
1.2000000000000002,-7.850698377596023,-7.850698377596028,-7.850698377596019
1.3,-7.867563290110053,-7.867563290110057,-7.867563290110054
1.4,-7.877001491818373,-7.877001491818374,-7.877001491818364
1.5,-7.8810157156469955,-7.881015715646995,-7.881015715647003
1.6,-7.881072044030921,-7.881072044030917,-7.881072044030921
1.7000000000000002,-7.878268167585,-7.878268167584997,-7.878268167584992
1.8,-7.873440293132827,-7.8734402931328225,-7.87344029313283
1.9000000000000001,-7.867233964816028,-7.867233964816032,-7.867233964816027
2.0,-7.860153207378777,-7.860153207378778,-7.860153207378772
2.1,-7.8525958278767405,-7.852595827876734,-7.852595827876733
2.2,-7.844879093009718,-7.84487909300972,-7.844879093009718
2.3,-7.837257967615505,-7.837257967615505,-7.837257967615507
2.4000000000000004,-7.829937002623392,-7.8299370026233985,-7.829937002623396
2.5,-7.823076642134087,-7.823076642134084,-7.8230766421340885
2.6,-7.8167951504729345,-7.8167951504729265,-7.816795150472933
2.7,-7.811168284803364,-7.811168284803366,-7.811168284803364
2.8000000000000003,-7.806229560089849,-7.80622956008985,-7.806229560089845
2.9000000000000004,-7.801973602332544,-7.8019736023325486,-7.80197360233255
3.0,-7.798363430915126,-7.798363430915128,-7.798363430915123
3.1,-7.795340451637533,-7.79534045163753,-7.7953404516375375
3.2,-7.792834806738612,-7.792834806738611,-7.792834806738609
3.3000000000000003,-7.790774009971016,-7.790774009971015,-7.790774009971016
3.4000000000000004,-7.789088897991476,-7.789088897991488,-7.789088897991478
3.5,-7.787716973466145,-7.7877169734661456,-7.787716973466143
